name,duration,price,category,activity
Standard visit of Common Ground,3,71,Standard visit,Common Ground
Standard visit of Lotte World Aquarium,2,72,Standard visit,Lotte World Aquarium
Standard visit of Bongeunsa Temple,1,73,Standard visit,Bongeunsa Temple
Standard visit of Lotte Department Store Main,1,74,Standard visit,Lotte Department Store Main
Standard visit of The War Memorial of Korea,4,75,Standard visit,The War Memorial of Korea
Standard visit of Myeong-dong Shopping Street,2,76,Standard visit,Myeong-dong Shopping Street
Standard visit of Changdeokgung Palace,1,77,Standard visit,Changdeokgung Palace
Guided visit of Coex Aquarium,2,20,Guided visit,Coex Aquarium
Guided visit of Seokchon Lake,2,22,Guided visit,Seokchon Lake
Guided visit of Starfield Library,2,24,Guided visit,Starfield Library
Guided visit of Noryangjin Fisheries Wholesale Market,3,26,Guided visit,Noryangjin Fisheries Wholesale Market
Guided visit of Seoul Forest,2,28,Guided visit,Seoul Forest
Guided visit of National Museum of Korean Contemporary History,3,30,Guided visit,National Museum of Korean Contemporary History
Guided visit of Seoullo 7017,4,32,Guided visit,Seoullo 7017
Guided visit of Seolleung & Jeongneung Royal Tomb,2,34,Guided visit,Seolleung & Jeongneung Royal Tomb
Guided visit of Seoul World Cup Stadium,2,36,Guided visit,Seoul World Cup Stadium
Guided visit of Leeum Samsung Museum of Art,4,38,Guided visit,Leeum Samsung Museum of Art
Guided visit of Hyundai Cruise,3,40,Guided visit,Hyundai Cruise
Guided visit of Naksan Park,2,42,Guided visit,Naksan Park
Guided visit of Seodaemun Prison History Hall,2,44,Guided visit,Seodaemun Prison History Hall
Guided visit of N Seoul Tower,5,46,Guided visit,N Seoul Tower
Guided visit of Lotte World Tower Seoul Sky,3,48,Guided visit,Lotte World Tower Seoul Sky
Guided visit of Mangwon Market,2,50,Guided visit,Mangwon Market
Guided visit of Gwanghwamun Gate,3,52,Guided visit,Gwanghwamun Gate
Guided visit of Gyeongbokgung Palace,3,54,Guided visit,Gyeongbokgung Palace
Guided visit of World Cup Park,3,56,Guided visit,World Cup Park
Guided visit of Namdaemun Market,4,58,Guided visit,Namdaemun Market
Guided visit of Gwangjang market,3,60,Guided visit,Gwangjang market
Guided visit of Bukhansan National Park,4,62,Guided visit,Bukhansan National Park
Guided visit of Cheongwadae Sarangchae,5,64,Guided visit,Cheongwadae Sarangchae
Guided visit of Namsan Cable Car,3,66,Guided visit,Namsan Cable Car
Guided visit of Jogyesa Temple,3,68,Guided visit,Jogyesa Temple
Guided visit of Yeouido Hangang Park,5,70,Guided visit,Yeouido Hangang Park
Guided visit of Lotte World,4,72,Guided visit,Lotte World
Guided visit of Daelim Museum,3,74,Guided visit,Daelim Museum
Guided visit of Korea House,3,76,Guided visit,Korea House
Guided visit of Achasan Mountain,6,78,Guided visit,Achasan Mountain
Guided visit of National Museum of Korea,4,80,Guided visit,National Museum of Korea
Guided visit of Goto Mall (Gangnam Terminal Underground Shopping Center),3,82,Guided visit,Goto Mall (Gangnam Terminal Underground Shopping Center)
Guided visit of Dongdaemun Shopping Complex,4,84,Guided visit,Dongdaemun Shopping Complex
Guided visit of Dongdaemun History & Culture Park,4,86,Guided visit,Dongdaemun History & Culture Park
Guided visit of Dongdaemun Gate (Heunginjimun),4,88,Guided visit,Dongdaemun Gate (Heunginjimun)
Guided visit of Sungnyemun Gate (Namdaemun Gate),5,90,Guided visit,Sungnyemun Gate (Namdaemun Gate)
Guided visit of The War and Women's Human Rights Museum,4,92,Guided visit,The War and Women's Human Rights Museum
Guided visit of Korea Furniture Museum,5,94,Guided visit,Korea Furniture Museum
Guided visit of Gocheok Sky Dome,6,96,Guided visit,Gocheok Sky Dome
Guided visit of Jamsil Baseball Stadium,4,98,Guided visit,Jamsil Baseball Stadium
Guided visit of Namsangol Hanok Village,4,100,Guided visit,Namsangol Hanok Village
Guided visit of Coreana Cosmetics Museum,6,102,Guided visit,Coreana Cosmetics Museum
Guided visit of The National Folk Museum of Korea,5,104,Guided visit,The National Folk Museum of Korea
Guided visit of Deoksugung Palace,4,106,Guided visit,Deoksugung Palace
Guided visit of Namsan Park,4,108,Guided visit,Namsan Park
Guided visit of King Sejong Statue,7,110,Guided visit,King Sejong Statue
Guided visit of Inwangsan Mountain,5,112,Guided visit,Inwangsan Mountain
Guided visit of Ihwa Mural Village,4,114,Guided visit,Ihwa Mural Village
Guided visit of Dream Forest,5,116,Guided visit,Dream Forest
Guided visit of Starfield COEX Mall,5,118,Guided visit,Starfield COEX Mall
Guided visit of Seoul Museum of History,5,120,Guided visit,Seoul Museum of History
Guided visit of Jungbu Market,6,122,Guided visit,Jungbu Market
Guided visit of Hanwha Aqua Planet Ilsan,5,124,Guided visit,Hanwha Aqua Planet Ilsan
Guided visit of Cheonggyecheon Stream,6,126,Guided visit,Cheonggyecheon Stream
Guided visit of Grevin Seoul Museum,7,128,Guided visit,Grevin Seoul Museum
Guided visit of National Museum of Modern and Contemporary Art Seoul,5,130,Guided visit,National Museum of Modern and Contemporary Art Seoul
Guided visit of Korea Manhwa Museum,5,132,Guided visit,Korea Manhwa Museum
Guided visit of National Palace Museum of Korea,7,134,Guided visit,National Palace Museum of Korea
Guided visit of Bukchon Hanok Village,6,136,Guided visit,Bukchon Hanok Village
Guided visit of Alive Museum Insadong,5,138,Guided visit,Alive Museum Insadong
Guided visit of Hongdae Free Market,5,140,Guided visit,Hongdae Free Market
Guided visit of Common Ground,8,142,Guided visit,Common Ground
Guided visit of Lotte World Aquarium,6,144,Guided visit,Lotte World Aquarium
Guided visit of Bongeunsa Temple,5,146,Guided visit,Bongeunsa Temple
Guided visit of Lotte Department Store Main,6,148,Guided visit,Lotte Department Store Main
Guided visit of The War Memorial of Korea,6,150,Guided visit,The War Memorial of Korea
Guided visit of Myeong-dong Shopping Street,6,152,Guided visit,Myeong-dong Shopping Street
Guided visit of Changdeokgung Palace,7,154,Guided visit,Changdeokgung Palace
