name,description,address,picture,city,activities_category
Hyundai Cruise,"Introduction
Hangang River Ferry Cruise began operations on October 26, 1986, traversing the Hangang River as it runs through Seoul from east to west. The operation company, E-Land Cruise, currently offers river cruise programs from two ferry terminals, located in Yeonuido and Jamsil. Riders can see the beautiful Hangang River by day on the Story Cruise, or take in the city nightscape and colorful Banpo Rainbow Bridge on the Music Cruise. The Lunch and Dinner Buffet cruises provide delicious cuisine.

E-Land Cruise aims to develop a cruise theme park at Hangang River as the iconic attraction representing Seoul. It also aims to promote and familiarize Hangang River to international tourists as a world famous attraction. Visitors and Seoul residents alike can take a break from the busy urban atmosphere and enjoy a relaxing time while on the cruise.","Jeonho-ri, Gochon-eup, Gimpo-si, Gyeonggi-do, South Korea",https://scontent-cdg2-1.cdninstagram.com/vp/2363e5abcddcebe26f87568a57d1b7dc/5E1F96C0/t51.2885-15/e35/p1080x1080/66448043_322699495277191_5161374587247259558_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=107,Seoul,Attraction
Naksan Park,"Introduction
Naksan Park gets its name from its camel hump-like appearance. In Korean ‘nakta’ means camel and ‘san’ means mountain. So people refer to the park as Nakta Park or Naksan Park. The mountain is a solid granite bedrock. The Joseon royal family enjoyed the natural beauty of the granite mountain, but during the Japanese Colonial Period, a hasty manner of urban planning resulted in the demolition of most parts of the mountain. In an effort to save the remaining green belts, Naksan was designated as a park on June 10, 2002. Located in the center of the Seoul, this historical and beautiful park allows its visitors to view the magnificence of the entire city.","41 Naksan-gil, Ihwa-dong, Jongno-gu, Seoul, South Korea",https://scontent-cdg2-1.cdninstagram.com/vp/240fe7be2e7a50aff9c4a1ae908881b8/5E078F9A/t51.2885-15/e35/37374632_481513638980452_3604631872459505664_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=104,Seoul,Landmarks
Seodaemun Prison History Hall,"Introduction
Seodaemun Prison History Hall is a special museum located at Seodaemun Independence Park. It was built near the end of the Joseon Dynasty (~1910), and was where Japanese soldiers tortured and later executed Korean Independence Movement followers. Seodaemun Prison History Hall was built in remembrance of Seodaemun Prison, and to salute the Korean patriots. There you'll find seven jail cells, a historical exhibition hall, an execution room, watchtowers and a basement jail cell where Yu Gwan-sun an historic figure during the independence movement died. The 1st floor is “A Place of Reverence,” where you can learn about Seodaemun Prison through a video. A large screen shows the background of its founding and the transition periods in its history. The Reference Room has displays and information on Korea's history. The museum also holds special exhibits. The 2nd floor is “A Place of History,” where you can view the “National Resistance Room,” “Prison History Room” and the “In Prison Life Room.” This floor shows examples of how the people fought through this dark chapter in history continuing to hold on to their hopes and resolve for freedom. “A Place of Experience” is the most horrifying and dreadful place in the prison. In the “Temporary Detention Room” and “Torture Room” you will see recreated torture scenes that are frighteningly realistic. At the Seodamun Independence Park nearby you can visit the Independence Hall, the Patriotic Martyr Monument, the March 1st Declaration of Independence Monument, relic no. 32 and no. 33.","484 Tongil-ro, Hongje-dong, Seodaemun-gu, Seoul, South Korea",https://scontent-cdg2-1.cdninstagram.com/vp/24c31503f573782f48998531b38c3555/5DF665E1/t51.2885-15/e35/17662992_740227219483959_8413352633737150464_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=103,Seoul,Historic sites
N Seoul Tower,"Introduction
Namsan Seoul Tower was the first tower-type tourism spot in Korea. The top of the tower is at almost 480 meters above sea level, including Namsan Mountain (243m) and the tower’s own height (236.7m), making it one of the tallest towers in Asia. It is comprised of Seoul Tower Plaza, recently opened to public access after 40 years, and N Seoul Tower, operated by CJ Foodville since 2005. The tower was first established as a broadcasting tower to send out TV and radio signals in 1969. As of now, it has become one of the representative landmarks and multi-cultural venues in Seoul.","105 Namsangongwon-gil, Yongsan 2(i)ga-dong, Yongsan-gu, Seoul, South Korea",https://scontent-cdg2-1.cdninstagram.com/vp/27396a5f7912bceeb832618729ebcbe1/5E00BFAD/t51.2885-15/e35/p1080x1080/67454817_206045610384513_8564514197146839078_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=109,Seoul,Landmarks
Lotte World Tower Seoul Sky,"Introduction
Seoul Sky is located on floors 117-123 of Lotte World Tower, the nation's tallest and the world's fifth tallest building. The observatory offers a panoramic view of the entire capital city, beautiful both day and night. In addition to the outstanding view, visitors can enjoy a small snack or coffee from the dessert cafe while sitting in the lounge or on the sky terrace.

While waiting for the elevator up, visitors can enjoy art in the exhibition zone in basement levels 1-2. The exhibition includes artwork displaying the history, culture, and pride of Korea's foundation and success over the centuries. Visitors can also purchase Seoul Sky merchandice from the gift shop to remember their trip or give as a souvenir.

The observation deck has two story-high glass windows for an uninterrupted view. The Sky Deck, located at 478m, hold the Guinness World Record as the highest glass-floored observatory in the world. On days when visibility is limited, visitors can still enjoy a clear sky through the Sky Theater. The 120th floor holds the Sky Terrace, open to the elements.

Visitors looking for refreshments can enjoy the one-of-a-kind menu served at the dessert cafe Sky Friends Cafe on level 119, or refreshing wine sold at the premium lounge on floor 123. This cozy spaces is the highest lounge in Seoul and is perfect for taking in the view in a relaxing ambiance.

To get to Seoul Sky, you will have to take the Sky Shuttle, a double-deck elevator that reaches a speed of 600m per minute. In no time at all, you'll be at the top of the world!","Olympic-ro, Songpa-gu, Seoul, South Korea",https://scontent-cdg2-1.cdninstagram.com/vp/2ac7e25ee612aae46d902e3f13a8bf91/5E0BF77E/t51.2885-15/e35/s1080x1080/66293630_500307133845905_6061112856879050671_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=105,Seoul,Attraction
Mangwon Market,"A visit to a traditional market in Korea is a must not only for its wide variety of regional goods and delicious food, but also for its distinctive local atmosphere. However, with so many traditional markets found throughout the country, visitors could feel quite lost when it comes to choosing their destination.

To help with making the decision, the Korea Tourism Organization and the Ministry of Culture, Sports, and Tourism have announced a list of traditional markets to represent the year of 2018. The list consists of 20 prominent traditional markets in Korea�s, including Namdaemun Market, Tongin Market, and Mangwon Market in Seoul as well as those in other major regions such as Incheon, Busan, and Gangwon-do. The selected markets will be offering diverse experience programs and multilingual promotional brochures to provide a more convenient and enjoyable market experience.","30 Mangwon-ro 8-gil, Mangwon 1(il)-dong, Mapo-gu, Seoul, South Korea",https://scontent-cdg2-1.cdninstagram.com/vp/2c0d054aea20c619b75a4c4867019296/5E0200F9/t51.2885-15/e35/s1080x1080/69237625_465629514285643_3927618877245001082_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=107,Seoul,Landmarks
Gwanghwamun Gate,"Introduction
Built in 1395 under the reign of King Taejo, the first king of the Joseon Dynasty, Gwanghwamun Gate is the southern gate of Gyeongbokgung Palace. It is also the main gate of the palace, therefore larger and fancier in comparison to the other gates. Gwanghwamun Gate consists of three arched gates; the center gate was used by the king, while the other two were used by the crown prince and royal officials. The tall granite walls of the gate serve as a platform for the wooden gate tower that watches over the city. The gate has a sign with its name written at the top center of the gate tower.

Gwanghwamun Gate went through several damages and restorations over the course of history. It was first severely damaged during the Imjin War (1592-1598) and was not restored until the reconstruction of Gyeongbokgung Palace in 1864. Under the Japanese administration, the gate was demolished and relocated to the north of the palace's eastern gate, followed by series of damages during the Korean War (1950-1953). In 1968, Gwanghwamun Gate was relocated back to the south of the palace and was rebuilt using concrete; however, the gate’s position was shifted a few meters away from its original location. In 2006, a major reconstruction project took place to restore Gwanghwamun Gate to its original state and location, disassembling the structure completely and replacing concrete with granite and wood. After three years and eight months of construction, Gwanghwamun Gate was fully restored to its original form and was open to the public on August 15, 2010.","161 Sajik-ro, Jongno 1(il).2(i).3(sam).4(sa), Jongno-gu, Seoul, South Korea",https://scontent-cdg2-1.cdninstagram.com/vp/399d1b80d53b8794eb8994694a9cc22c/5E3D8598/t51.2885-15/e35/66416304_849459365440959_8074423135365927460_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=103,Seoul,Landmarks
Gyeongbokgung Palace,"Introduction
Built in 1395, Gyeongbokgung Palace is also commonly referred to as the Northern Palace because its location is furthest north when compared to the neighboring palaces of Changdeokgung (Eastern Palace) and Gyeonghuigung (Western Palace) Palace. Gyeongbokgung Palace is arguably the most beautiful, and remains the largest of all five palaces.

The premises were once destroyed by fire during the Imjin War (Japanese Invasions, 1592-1598). However, all of the palace buildings were later restored under the leadership of Heungseondaewongun during the reign of King Gojong (1852-1919).

Remarkably, the most representative edifices of the Joseon Dynasty, Gyeonghoeru Pavilion and Hyangwonjeong Pond have remained relatively intact. Woldae and the sculptures of Geunjeongjeon (The Royal Audience Chamber) represent past sculptures of contemporary art.

The National Palace Museum of Korea is located south of Heungnyemun Gate, and the National Folk Museum is located on the eastern side within Hyangwonjeong.
","161 Sajik-ro, Jongno 1(il).2(i).3(sam).4(sa), Jongno-gu, Seoul, South Korea",https://scontent-cdg2-1.cdninstagram.com/vp/3e4e4a89a8eb7b90143752012d301c83/5DFC51DA/t51.2885-15/e35/69425904_2245115158931620_8145001019024517810_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=104,Seoul,Landmarks
World Cup Park,"Introduction
Opened on May 1st, 2002, the Wolrd Cup Park was once a 15-year-old landfill that held over 92 million tons of garbage. The park is located near Seoul World Cup Stadium, and is made up of five smaller parks - Pyeonghwa (Peace) Park, Haneul (Sky) Park, Noeul (Sunset) Park, Nanjicheon Park, and Nanji Hangang Park.

* Pyeonghwa Park: Closest to Seoul World Cup Stadium, it holds a pond, garden, children’s playground, and forest. As a representative park of World Cup Park, the park was designed in hopes of peace and harmony between mankind and nature. It is often used as a picnic area and place for nature studies.

* Nanji Hangang Park: Nanji Hangang Park was developed on the banks of the Hangang River. In contrast to other Hangang River parks, Nanji Hangang Park is a water-friendly park that has a gradual slope towards the riverbank. The park consists of a camping ground, soccer field, basketball court, grass field, cruise ship port, and an area for nature studies.

* Haneul Park: Haneul Park consists of vast grassland located at the highest elevation of the five parks. The park's pasture is covered with eulalias and wild flowers in their most natural state. In addition, 30,000 butterflies of different species were introduced in 2000 to stabilize the ecosystem. Five wind-powered generators provide power to the park and the park’s maintenance office. Once a mountain of garbage, it is now a green hill with 22 lookout points offering breathtaking views of Seoul, including the N Seoul Tower, Bukhansan Mountain, and Hangang River. Tall trees are line the park to provide shades and serve as resting spots for visitors. As a popular spot to enjoy the sight of eulalias, the park usually remains open until late in the evening during the Eulalia Festival period.

* Noeul Park: In order to prevent the vast area of land of what was once a wasteland from becoming an unnecessary chunk of land, a nine-hole golf course was constructed in what is now known as Noeul Park. The golf course serves as an environment friendly entertainment park to visitors while stabilizing the geographical formation and has an urban park nearby that offers scenic views of the Hangang River and beautiful sunset. Located west of the golf park is Noeul Square, decorated with shrubs and flowers.

* Nanjicheon Park: Nanjicheon Park was developed from the Nanji Stream, which flowed under Haneul Park. It was once overflowing with sewage runoff from a nearby landfill, but it has since been beautifully restored into a park with clear water. The park is built to serve as a recreational spot for those with for youths, elders, and people with disabilities.","Mapo-gu, Seoul, South Korea",https://scontent-cdg2-1.cdninstagram.com/vp/415d82a37e5bcc2ae6012331ff7c2b07/5E0BEC02/t51.2885-15/e35/47184994_683827098685317_5864347489064067493_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=109,Seoul,Parks & Gardens
Namdaemun Market,"Introduction
Opened in 1964, Namdaemun Market is the largest traditional market in Korea with shops selling various goods. All products are sold at affordable prices and the stores in this area also function as wholesale markets.

Most of the goods are made directly by the storeowners. Namdaemun Market is even open overnight, from 11:00pm to 4:00am, and is crowded with retailers from all over the country. When day breaks, the site of busy shoppers bustling around the market creates a unique scene that attracts tourists worldwide. Namdaemun Market sells a variety of clothes, glasses, kitchenware, toys, mountain gear, fishing equipment, stationery, fine arts, accessories, hats, carpets, flowers, ginseng, and imported goods.","21 Namdaemunsijang 4-gil, Hoehyeon-dong, Jung-gu, Seoul, South Korea",https://scontent-cdg2-1.cdninstagram.com/vp/44a25f3b310982811b7c9aa05cb324f1/5E0BD829/t51.2885-15/e35/64342480_481918599218616_1367602081341985974_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=100,Seoul,Shopping area & Mall
Gwangjang market,"Introduction
Gwangjang Market was the first permanent market in Korea and continues to thrive as a popular tourist destination today. The second floor of the market is filled with silk, satin, and linen bed-sheet stores, which are the largest and most famous in Seoul.

Many of the stores in the area even have their own factories supplying fabrics to the Namdaemun Market, Pyoung Hwa Market, and even to some department stores. Even though the goods are not brand-name products, the wide selection of high quality goods at inexpensive prices makes it an enjoyable shopping experience.

*Shops closed on Sunday but not the food stores

*Shops close at 6pm, but food stores are open until 11pm","88 Changgyeonggung-ro, Jongno 1(il).2(i).3(sam).4(sa), Jongno-gu, Seoul, South Korea",https://scontent-cdg2-1.cdninstagram.com/vp/51cd1c3aac93881da6f7b9ecc931e59e/5E054F9E/t51.2885-15/e35/14564927_314438762251406_392217113550389248_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=102,Seoul,Landmarks
Bukhansan National Park,"Introduction
Bukhansan Mountain was officially designated as a national park in 1983. The Bukhansan National Park covers both Bukhansan and Dobongsan Mountains, and spans the total area of 80.699㎢. At the top of Bukhansan Mountain are Baegundae Terrace (835.6 m), Insubong Peak (810.5 m) and Mangyeongdae Terrace (799.5 m), which gave the mountain the nickname ""Samgaksan"" or the ""three-horned mountain."" The mountain had other names: Sambongsan (mountain with three peaks), Hwasan (flower mountain), and Buaak (mountain shaped like a person giving a baby a piggyback ride). The current name, Bukhansan, was given after the Bukhansanseong Fortress was built under King Sukjong of the Joseon Dynasty.","Bukhansan National Park, 262 Bogukmun-ro, Jeongneung 4(sa)-dong, Seongbuk-gu, Seoul, South Korea",https://scontent-cdg2-1.cdninstagram.com/vp/5254c6896c0afb7ea28767522af14546/5DF6B5B5/t51.2885-15/e35/57064316_408586973256080_1422355583048275469_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com,Seoul,Parks & Gardens
Cheongwadae Sarangchae,"Introduction
Cheongwadae Sarangchae is a space to learn about Korean culture and the history of former Korean presidents. The area is comprised of a planned exhibition hall where various special exhibitions are held. Korea Tourism Exhibit Hall and a special hall with hidden stories of Cheong Wa Dae are on the first floor, while Cheongwadae Hall which introduces former Korean presidents and Citizens Communication Experience Hall which presents government online contents are on the second floor.

Managing Organization
Korea Tourism Organization

Structure Size
Site area (4,116㎡): 1st floor (1,462.31m²). 2nd floor (1,517.31m²). Basement (1,137.36m²)

Program Information
Educational program for elementary school students: ‘I am the future president’
Every Wednesday 15:00 and Saturday 9:30 (approx. 2 hour program).
Reservation through the official website required.","45 Hyoja-ro 13-gil, Cheongunhyoja-dong, Jongno-gu, Seoul, South Korea",https://scontent-cdg2-1.cdninstagram.com/vp/54cdc6d04adf7344c43ff4b254630477/5E10F10E/t51.2885-15/e35/44882397_2199503573708014_1403116401452681918_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=110,Seoul,Historic sites
Namsan Cable Car,"Introduction
Namsan Cable Car runs from the base of Namsan Mountain up to Namsan Seoul Tower, one of the most representative tourist attractions in Seoul, loved by tourists and residents alike. The new cable cars, which have been in operation since December 6, 2008, have an increased capacity of 48 people per car (up from 38). Unlike the older cars, the new cable cars have glass on all four sides, giving riders a wider view of the surrounding cityscape.

Approximately 50,000 people ride Namsan Cable Car each month. Visitors who are looking for a more tranquil tour are advised to go in the morning. For both a daytime and nighttime view of Seoul and the tower, take the cable car up the mountain in the late afternoon and come back down in the early evening.

To get to the cable car without having to walk too much, take Namsan Oreumi (Namsan outdoor elevator). Namsan Oreumi is the first inclined outdoor elevator in Korea. It runs a distance of 140m from the entrance of Namsan 3rd Tunnel to the parking lot of Namsan Cable Car and only takes about two minutes, as opposed to a 20 minutewalk. The maximum capacity is 20 people and operating hours are 10:00-23:30 to match the operatings of Namsan Cable Car.","Namsan, Hoehyeon-dong, Seoul",https://scontent-cdg2-1.cdninstagram.com/vp/59dca04d0b8c979220e8a352a0a2a1a7/5E0A6B6D/t51.2885-15/e35/16123972_402819120065635_2382951355942699008_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=107,Seoul,Landmarks
